Title,Budget,Gross US & Canada,Opening weekend Earnings,Opening weekend Release Date,Gross worldwide,Runtime,Sound mix,Aspect ratio,Color
The Green Mile,"$60,000,000","$136,801,374","$18,017,152",1999-12-12,"$286,801,374",3 hours 9 minutes,DTSDolby DigitalSDDS,1.85 : 1,Color
Terminator 2: Judgment Day,"$102,000,000","$205,881,154","$31,765,506",1991-07-07,"$520,881,154",2 hours 17 minutes,,2.39 : 1,
Star Wars,"$11,000,000","$460,998,507","$1,554,475",1977-05-30,"$775,398,507",2 hours 1 minute,Dolby AtmosMono70 mm 6-Track,2.35 : 1,
Dune: Part Two,"$190,000,000","$282,144,358","$82,505,391",2024-03-03,"$711,844,358",2 hours 46 minutes,Dolby Surround 7.1Dolby Atmos12-Track Digital SoundIMAX 6-TrackDolby DigitalAuro 11.1Sonics-DDP,,ColorBlack and White
Back to the Future,"$19,000,000","$214,077,472","$11,152,500",1985-07-07,"$384,577,472",1 hour 56 minutes,Dolby DigitalDolby Atmos,,Color
Spirited Away,"$19,000,000","$15,205,725","$449,839",2002-09-22,"$357,561,772",2 hours 5 minutes,DTS-ESDolby Digital EX,1.85 : 1,Color
The Pianist,"$35,000,000","$32,590,750","$111,261",2002-12-29,"$120,098,945",2 hours 30 minutes,DTSDolby Digital,1.85 : 1,Color
Parasite,"$11,400,000","$53,369,749","$393,216",2019-10-13,"$262,099,264",2 hours 12 minutes,Dolby Atmos,2.39 : 1,Color
Psycho,"$806,947","$32,000,000",,,"$32,061,457",1 hour 49 minutes,Dolby Digital,"1.37 : 1(original & negative ratio, open matte)",Black and White
Gladiator,"$103,000,000","$187,705,427","$34,819,017",2000-05-07,"$465,387,186",2 hours 35 minutes,SDDSDolby DigitalDolby Atmos,2.39 : 1,Color
Spider-Man: Across the Spider-Verse,,,,,,2 hours 20 minutes,Dolby AtmosDolby Surround 7.1IMAX 6-TrackSDDSDolby Digital,2.39 : 1,
The Lion King,"$45,000,000","$422,783,777","$1,586,753",1994-06-19,"$968,750,709",1 hour 28 minutes,"Dolby Stereo(Dolby Stereo Spectral Recording, original release)",,Color
The Departed,"$90,000,000","$132,399,394","$26,887,467",2006-10-08,"$291,481,358",2 hours 31 minutes,Dolby DigitalSDDSDTS,2.39 : 1,Color
Léon,FRF,"$19,501,238","$5,306,558",1994-11-20,"$20,275,438",1 hour 50 minutes,Dolby DigitalDolby Atmos,2.39 : 1,Color
American History X,"$20,000,000","$6,719,864","$156,076",1998-11-01,"$23,875,714",1 hour 59 minutes,Dolby Digital,1.85 : 1,Color
Whiplash,"$3,300,000","$13,092,000","$135,388",2014-10-12,"$49,449,489",1 hour 46 minutes,Dolby DigitalSDDSDatasatDolby Atmos,2.39 : 1,Color
The Prestige,"$40,000,000","$53,089,891","$14,801,808",2006-10-22,"$109,676,311",2 hours 10 minutes,SDDSDolby DigitalDTS,2.39 : 1,Color
Hotaru no haka,"$3,700,000","$516,962","$158,101",2018-08-12,"$519,421",1 hour 29 minutes,Dolby StereoStereo,1.85 : 1,Color
Seppuku,,,,,"$15,222",,,,
The Usual Suspects,"$6,000,000","$23,341,568","$645,363",1995-08-20,"$23,341,568",1 hour 46 minutes,Dolby SRDolby Digital,2.39 : 1,
Casablanca,"$950,000","$4,219,709","$181,494",1992-04-12,"$4,661,588",1 hour 42 minutes,,1.37 : 1,Black and White
Intouchables,"€9,500,000","$10,198,820","$103,507",2012-05-27,"$426,590,315",1 hour 52 minutes,Dolby Digital,1.85 : 1,Color
Nuovo Cinema Paradiso,"$5,000,000","$12,397,210","$16,552",1990-02-04,"$13,020,497",2 hours 54 minutes,Mono,1.66 : 1,Color
Modern Times,"$1,500,000","$163,577","$35,809",2003-12-28,"$463,618",1 hour 27 minutes,Silent,1.37 : 1,Black and White
